127.0.0.1 - - [16/Oct/2013:22:00:47 -0400] "GET / HTTP/1.1" 200 11444
129.100.92.139 - - [16/Oct/2013:22:06:19 -0400] "GET /web/getSpecifyCategoryEvent?fromDate=20131017&cid=10&startid=0&count=10 HTTP/1.1" 200 2471
129.100.92.139 - - [16/Oct/2013:22:06:39 -0400] "GET /web/getNews?urltitle=Clovermead-Pumpkin-Festival HTTP/1.1" 200 775
129.100.92.139 - - [16/Oct/2013:22:06:46 -0400] "GET /web/getNews?urltitle=Budapest-Restaurants-Hungarian-Festival HTTP/1.1" 200 521
129.100.92.139 - - [16/Oct/2013:22:06:55 -0400] "GET /web/getNews?urltitle=Lost-Soul-Stroll HTTP/1.1" 200 770
129.100.92.139 - - [16/Oct/2013:22:07:18 -0400] "GET /web/getNews?urltitle=Lost-Soul-Stroll HTTP/1.1" 200 770
129.100.92.139 - - [16/Oct/2013:22:07:22 -0400] "GET /web/getNews?urltitle=Clovermead-Pumpkin-Festival HTTP/1.1" 200 775
129.100.92.139 - - [16/Oct/2013:22:07:31 -0400] "GET /web/getNews?urltitle=Diana-Thorneycroft---Canadians-and-Americans-best-friends-foreverits-complicated HTTP/1.1" 200 1041
129.100.92.139 - - [16/Oct/2013:22:07:33 -0400] "GET /web/getNews?urltitle=Featured-Artists-October-Art-Emporium HTTP/1.1" 200 657
129.100.92.139 - - [16/Oct/2013:22:07:42 -0400] "GET /web/getNews?urltitle=Featured-Artists-October-Art-Emporium HTTP/1.1" 200 657
129.100.92.139 - - [16/Oct/2013:22:07:45 -0400] "GET /web/getNews?urltitle=Diana-Thorneycroft---Canadians-and-Americans-best-friends-foreverits-complicated HTTP/1.1" 200 1041
129.100.92.139 - - [16/Oct/2013:22:07:48 -0400] "GET /web/getNews?urltitle=Lost-Soul-Stroll HTTP/1.1" 200 770
129.100.92.139 - - [16/Oct/2013:22:09:38 -0400] "GET /web/getSpecifyCategoryFacility?cid=01&startid=0&count=10 HTTP/1.1" 200 1312
129.100.92.139 - - [16/Oct/2013:22:09:42 -0400] "GET /web/getSpecifyCategoryFacility?cid=02&startid=0&count=10 HTTP/1.1" 200 1669
129.100.92.139 - - [16/Oct/2013:22:09:44 -0400] "GET /web/getSpecifyCategoryFacility?cid=01&startid=0&count=10 HTTP/1.1" 200 1312
192.168.2.43 - - [16/Oct/2013:22:11:07 -0400] "GET /web/getSpecifyCategoryFacility?cid=01&startid=0&count=10 HTTP/1.1" 200 1312
192.168.2.43 - - [16/Oct/2013:22:11:10 -0400] "GET /web/getBus?facilityx=-81.1700156161&facilityy=43.0000329478 HTTP/1.1" 200 10885
192.168.2.43 - - [16/Oct/2013:22:11:25 -0400] "GET /web/getBus?facilityx=-81.2422423015&facilityy=42.9690882292 HTTP/1.1" 200 12988
129.100.92.139 - - [16/Oct/2013:22:18:55 -0400] "GET /web/getSpecifyCategoryEvent?fromDate=20131017&cid=10&startid=0&count=10 HTTP/1.1" 200 2471
129.100.92.139 - - [16/Oct/2013:22:20:47 -0400] "GET /web/getNews?urltitle=Featured-Artists-October-Art-Emporium HTTP/1.1" 200 657
129.100.92.139 - - [16/Oct/2013:22:21:04 -0400] "GET /web/getNews?urltitle=Featured-Artists-October-Art-Emporium HTTP/1.1" 200 657
129.100.92.139 - - [16/Oct/2013:22:22:19 -0400] "GET /web/getNews?urltitle=Diana-Thorneycroft---Canadians-and-Americans-best-friends-foreverits-complicated HTTP/1.1" 200 1041
192.168.2.43 - - [16/Oct/2013:22:59:28 -0400] "GET /web/getBus?facilityx=-81.2268922336&facilityy=42.9701838842 HTTP/1.1" 200 11376
192.168.2.43 - - [16/Oct/2013:22:59:29 -0400] "GET /web/getBus?facilityx=-81.2657113076&facilityy=42.9874022213 HTTP/1.1" 200 9512
192.168.2.43 - - [16/Oct/2013:22:59:32 -0400] "GET /web/getBus?facilityx=-81.2268922336&facilityy=42.9701838842 HTTP/1.1" 200 11376
192.168.2.43 - - [16/Oct/2013:22:59:36 -0400] "GET /web/getBus?facilityx=-81.2422423015&facilityy=42.9690882292 HTTP/1.1" 200 12988
129.100.92.139 - - [16/Oct/2013:23:08:37 -0400] "GET /web/getNews?urltitle=Lost-Soul-Stroll HTTP/1.1" 200 770
